2021-06-26 22:06:778 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-26 22:06:756 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-26 22:06:114 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-26 23:06:353 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-26 23:06:650 INFO  HomePage :25 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (43e01f3688c3757cf3d47b6eb01f86de)] -> link text: Log in]
2021-06-26 23:06:693 INFO  LoginPage :54 - Getting text from : [[ChromeDriver: chrome on WINDOWS (43e01f3688c3757cf3d47b6eb01f86de)] -> xpath: //div[@class='page-title']//h1]
2021-06-27 16:06:974 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 16:06:427 INFO  HomePage :52 - Clicking on Computer link : [[ChromeDriver: chrome on WINDOWS (7814f2b678a17fa62e39e3bfd0a9cc70)] -> link text: Computers]
2021-06-27 16:06:652 INFO  ComputerPage :33 - Clicking on Desktops link : [[ChromeDriver: chrome on WINDOWS (7814f2b678a17fa62e39e3bfd0a9cc70)] -> link text: Desktops]
2021-06-27 16:06:784 INFO  ComputerPage :36 - Verify on Desktops Text : Proxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Desktops')]'
2021-06-27 16:06:387 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 16:06:507 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 16:06:07 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 16:06:632 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 16:06:828 INFO  HomePage :52 - Clicking on Computer link : [[ChromeDriver: chrome on WINDOWS (97e0e0f3f9f5f615a9a11b7ac53fb96d)] -> link text: Computers]
2021-06-27 16:06:547 INFO  ComputerPage :33 - Clicking on Desktops link : [[ChromeDriver: chrome on WINDOWS (97e0e0f3f9f5f615a9a11b7ac53fb96d)] -> link text: Desktops]
2021-06-27 16:06:614 INFO  ComputerPage :36 - Verify on Desktops Text : [[ChromeDriver: chrome on WINDOWS (97e0e0f3f9f5f615a9a11b7ac53fb96d)] -> xpath: //h1[contains(text(),'Desktops')]]
2021-06-27 16:06:140 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 16:06:690 INFO  HomePage :52 - Clicking on Computer link : [[ChromeDriver: chrome on WINDOWS (33bf0bc705b8ac9f45471d456ddd64cb)] -> link text: Computers]
2021-06-27 16:06:553 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 16:06:39 INFO  HomePage :52 - Clicking on Computer link : [[ChromeDriver: chrome on WINDOWS (483b5064c04365bf114aeef09c1b9790)] -> link text: Computers]
2021-06-27 16:06:275 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 16:06:786 INFO  HomePage :88 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (18dd7083ed1ef69b6eeb662b1e765a32)] -> link text: Log in]
2021-06-27 16:06:833 INFO  LoginPage :54 - Getting text from : [[ChromeDriver: chrome on WINDOWS (18dd7083ed1ef69b6eeb662b1e765a32)] -> xpath: //div[@class='page-title']//h1]
2021-06-27 16:06:263 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 16:06:369 INFO  HomePage :46 - MouseHover on Computer link : [[ChromeDriver: chrome on WINDOWS (e775a349c718477c89de6a0ae7530d7b)] -> link text: Computers]
2021-06-27 16:06:881 INFO  ComputerPage :33 - Clicking on Desktops link : [[ChromeDriver: chrome on WINDOWS (e775a349c718477c89de6a0ae7530d7b)] -> link text: Desktops]
